mass_A
t	x	y
4.260000000E0	-4.548021367E2	3.998499501E2
4.270000000E0	-4.548718434E2	4.001596882E2
4.280000000E0	-4.545924026E2	4.000499106E2
4.290000000E0	-4.543902040E2	3.992810634E2
4.300000000E0	-4.536904205E2	3.981448074E2
4.310000000E0	-4.526632379E2	3.967119779E2
4.320000000E0	-4.515485913E2	3.950645805E2
4.330000000E0	-4.501955023E2	3.927273728E2
4.340000000E0	-4.486096927E2	3.901338218E2
4.350000000E0	-4.465953480E2	3.870571730E2
4.360000000E0	-4.443517442E2	3.832823187E2
4.370000000E0	-4.418936473E2	3.791031274E2
4.380000000E0	-4.388045647E2	3.747135648E2
4.390000000E0	-4.355440521E2	3.700337575E2
4.400000000E0	-4.323477681E2	3.649013301E2
4.410000000E0	-4.285527111E2	3.591315703E2
4.420000000E0	-4.245821662E2	3.530568483E2
4.430000000E0	-4.204305832E2	3.467941859E2
4.440000000E0	-4.156204109E2	3.400665645E2
4.450000000E0	-4.108044631E2	3.330494796E2
4.460000000E0	-4.055104460E2	3.257057416E2
4.470000000E0	-4.004547303E2	3.161343770E2
4.480000000E0	-3.941931007E2	3.072390467E2
4.490000000E0	-3.885774987E2	2.978453866E2
4.500000000E0	-3.822368726E2	2.886725179E2
4.510000000E0	-3.755334317E2	2.789552935E2
4.520000000E0	-3.686091681E2	2.687897005E2
4.530000000E0	-3.613269067E2	2.582498724E2
4.540000000E0	-3.536375341E2	2.476999867E2
4.550000000E0	-3.455904397E2	2.365038314E2
4.560000000E0	-3.371699871E2	2.248652152E2
4.570000000E0	-3.282934812E2	2.129485852E2
4.580000000E0	-3.191741781E2	2.007707573E2
4.590000000E0	-3.094737978E2	1.884329325E2
4.600000000E0	-2.991430039E2	1.762872734E2
4.610000000E0	-2.882371951E2	1.638874491E2
4.620000000E0	-2.770079661E2	1.513103958E2
4.630000000E0	-2.647440827E2	1.388291476E2
4.640000000E0	-2.523717953E2	1.266558371E2
4.650000000E0	-2.390250746E2	1.139710583E2
4.660000000E0	-2.247703628E2	1.018419864E2
4.670000000E0	-2.099812347E2	9.095655745E1
4.680000000E0	-1.948643130E2	8.023494883E1
4.690000000E0	-1.787290136E2	6.939047002E1
4.700000000E0	-1.618014118E2	5.933983957E1
4.710000000E0	-1.439777254E2	5.011146220E1
4.720000000E0	-1.254556748E2	4.198734930E1
4.730000000E0	-1.066004230E2	3.490223593E1
4.740000000E0	-8.699493530E1	2.888529465E1
4.750000000E0	-6.658128201E1	2.308381006E1
4.760000000E0	-4.616354826E1	1.916389043E1
4.770000000E0	-2.554712061E1	1.631184476E1
4.780000000E0	-4.510654341E0	1.509198350E1
4.790000000E0	1.643771709E1	1.550028096E1
4.800000000E0	3.725665607E1	1.721330808E1
4.810000000E0	5.754170940E1	2.081067309E1
4.820000000E0	7.736312618E1	2.619466482E1
4.830000000E0	9.638382375E1	3.218696505E1
4.840000000E0	1.145610490E2	3.947948863E1
4.850000000E0	1.329394939E2	4.784623259E1
4.860000000E0	1.500721895E2	5.725591923E1
4.870000000E0	1.662561952E2	6.733198240E1
4.880000000E0	1.820292366E2	7.804801517E1
4.890000000E0	1.966371687E2	8.919724405E1
4.900000000E0	2.104473978E2	1.003720026E2
4.910000000E0	2.234437360E2	1.125708994E2
4.920000000E0	2.358379601E2	1.242339394E2
4.930000000E0	2.481623501E2	1.353177947E2
4.940000000E0	2.605896046E2	1.467348724E2
4.950000000E0	2.715325439E2	1.583596604E2
4.960000000E0	2.817667905E2	1.696140175E2
4.970000000E0	2.916934019E2	1.807023980E2
4.980000000E0	3.014194244E2	1.921103611E2
4.990000000E0	3.104361130E2	2.034963095E2
5.000000000E0	3.190741960E2	2.144393649E2
5.010000000E0	3.275679359E2	2.248254110E2
5.020000000E0	3.348812060E2	2.348018118E2
5.030000000E0	3.416083096E2	2.446107466E2
5.040000000E0	3.483790878E2	2.538980359E2
5.050000000E0	3.548657492E2	2.629592339E2
5.060000000E0	3.609339769E2	2.718377989E2
5.070000000E0	3.665301459E2	2.801622797E2
5.080000000E0	3.718764293E2	2.879675718E2
5.090000000E0	3.768457839E2	2.956279235E2
5.100000000E0	3.817063643E2	3.037467197E2
5.110000000E0	3.864431210E2	3.108726211E2
5.120000000E0	3.907184871E2	3.183788807E2
5.130000000E0	3.943297018E2	3.242235485E2
5.140000000E0	3.986211764E2	3.299032711E2
5.150000000E0	4.018977146E2	3.349267726E2
5.160000000E0	4.049720933E2	3.398485847E2
5.170000000E0	4.078355134E2	3.442255513E2
5.180000000E0	4.106557832E2	3.482438409E2
5.190000000E0	4.133079257E2	3.518095586E2
5.200000000E0	4.148956500E2	3.551921095E2
5.210000000E0	4.168022902E2	3.580588431E2
5.220000000E0	4.187555266E2	3.609280111E2
5.230000000E0	4.199350230E2	3.629600054E2
5.240000000E0	4.209713377E2	3.648664187E2
5.250000000E0	4.216772192E2	3.661429883E2
5.260000000E0	4.221320498E2	3.669189312E2
5.270000000E0	4.219803659E2	3.671309093E2
5.280000000E0	4.218780900E2	3.670562787E2
5.290000000E0	4.218217428E2	3.669567000E2
5.300000000E0	4.209720477E2	3.660101453E2
5.310000000E0	4.200986105E2	3.648284435E2
5.320000000E0	4.188520740E2	3.630505954E2
5.330000000E0	4.178271444E2	3.609906746E2
5.340000000E0	4.160217011E2	3.581350857E2
5.350000000E0	4.140564666E2	3.550942954E2
5.360000000E0	4.118356718E2	3.519645482E2
5.370000000E0	4.095532408E2	3.483250053E2
5.380000000E0	4.069040811E2	3.439583807E2
5.390000000E0	4.039545263E2	3.396353451E2
5.400000000E0	4.006405784E2	3.349796382E2
5.410000000E0	3.975312022E2	3.298593406E2
5.420000000E0	3.940482379E2	3.244460880E2
5.430000000E0	3.910216859E2	3.188285266E2
5.440000000E0	3.869736556E2	3.108913271E2
5.450000000E0	3.824661743E2	3.047558598E2
5.460000000E0	3.777485039E2	2.968379387E2
5.470000000E0	3.726145744E2	2.891163046E2
5.480000000E0	3.672337324E2	2.807206350E2
5.490000000E0	3.617664098E2	2.722097996E2
5.500000000E0	3.556348160E2	2.628495418E2
5.510000000E0	3.490678750E2	2.534864379E2
5.520000000E0	3.418744224E2	2.438158463E2
5.530000000E0	3.346196160E2	2.336921780E2
5.540000000E0	3.269618490E2	2.233815766E2
5.550000000E0	3.186334905E2	2.126955598E2
5.560000000E0	3.102728921E2	2.017616018E2
5.570000000E0	3.014335524E2	1.905475345E2
5.580000000E0	2.919626835E2	1.793998481E2
5.590000000E0	2.817286709E2	1.677388442E2
5.600000000E0	2.711649032E2	1.561673069E2
5.610000000E0	2.602443626E2	1.444876956E2
5.620000000E0	2.484876984E2	1.327106203E2
5.630000000E0	2.363401180E2	1.206472550E2
5.640000000E0	2.230795419E2	1.111549926E2
5.650000000E0	2.101082941E2	9.831537507E1
5.660000000E0	1.961305919E2	8.694274427E1
